#Frequency (kHz),Vertical,45 degrees
15,-263.6,-266.5
15.5,-263.3,-266.2
16,-263.8,-266.7
16.5,-264.8,-267.7
17,-264.8,-267.8
17.5,-264.9,-267.8
18,-266.5,-269.4
18.5,-266.4,-269.3
19,-267.4,-270.3
19.5,-270.1,-273
20,-277.3,-280.3
20.5,-268.3,-271.2
21,-263.2,-266.1
21.5,-261.6,-264.5
22,-262.7,-265.6
22.5,-265.7,-268.6
23,-273.2,-276.1
23.5,-271.3,-274.2
24,-270.5,-273.5
24.5,-269.4,-272.3
25,-265.7,-268.6
25.5,-262.8,-265.7
26,-262.3,-265.2
26.5,-263.5,-266.5
27,-268.8,-271.7
27.5,-283.3,-286.2
28,-274.2,-277.2
28.5,-271,-273.9
29,-278.6,-281.5
29.5,-275.1,-278
30,-267.6,-270.5
30.5,-265.3,-268.2
31,-267.2,-270.1
31.5,-274.5,-277.4
32,-277,-279.9
32.5,-267.3,-270.3
33,-263.8,-266.7
33.5,-262.3,-265.3
34,-262.1,-265
34.5,-262.8,-265.7
35,-265,-268
35.5,-268.7,-271.6
36,-273.5,-276.5
36.5,-278.6,-281.5
37,-276.5,-279.4
37.5,-271.7,-274.6
38,-267.9,-270.8
38.5,-265.2,-268.1
39,-263.7,-266.6
39.5,-263.2,-266.1
40,-264.1,-267
40.5,-266.5,-269.4
41,-272.2,-275.1
41.5,-281.5,-284.4
42,-275.1,-278
42.5,-270.8,-273.7
43,-269.1,-272
43.5,-268.2,-271.1
44,-267.8,-270.7
44.5,-267.8,-270.7
45,-269.6,-272.6
45.5,-273.5,-276.5
46,-277.9,-280.8
46.5,-279,-281.9
47,-275.1,-278
47.5,-271.9,-274.8
48,-267.8,-270.7
48.5,-264.7,-267.6
49,-263.6,-266.5
49.5,-264.1,-267
50,-266.7,-269.6
